月份,统计分区,游客占比
01,外港及南灣湖新填海區,0.096400
01,路氹填海區,0.434755
02,外港及南灣湖新填海區,0.090078
02,路氹填海區,0.406413
03,外港及南灣湖新填海區,0.090082
03,路氹填海區,0.423982
04,外港及南灣湖新填海區,0.086379
04,路氹填海區,0.436913
05,外港及南灣湖新填海區,0.087283
05,路氹填海區,0.435414
06,外港及南灣湖新填海區,0.089628
06,路氹填海區,0.452231
07,外港及南灣湖新填海區,0.086861
07,路氹填海區,0.448635
08,外港及南灣湖新填海區,0.085439
08,路氹填海區,0.433916
09,外港及南灣湖新填海區,0.090137
09,路氹填海區,0.442458
10,外港及南灣湖新填海區,0.093049
10,路氹填海區,0.444035
11,外港及南灣湖新填海區,0.09307
11,路氹填海區,0.437204
12,外港及南灣湖新填海區,0.094975
12,路氹填海區,0.441712

